Ticker 1,Ticker 2,P-Value
AON,PWR,0.0229
AON,SBUX,0.0268
AON,TAP,0.0462
AON,TSN,0.0317
APA,CA,0.0490
APA,CLF,0.0480
APA,FITB,0.0310
APA,GT,0.0322
APA,HD,0.0170
APA,KSS,0.0149
APA,LOW,0.0138
APA,M,0.0025
APA,MSI,0.0452
APA,NKE,0.0372
APA,NTAP,0.0190
APA,PAYX,0.0430
APA,PFE,0.0277
APA,QCOM,0.0017
APA,SEE,0.0321
APA,TER,0.0033
APA,USB,0.0222
APA,ZION,0.0417
APD,AVY,0.0321
APD,AZO,0.0449
APD,BBT,0.0487
APD,BBY,0.0037
APD,BEAM,0.0389
APD,BIIB,0.0189
APD,CME,0.0322
APD,CNP,0.0113
APD,COP,0.0066
APD,DHR,0.0189
APD,DOV,0.0166
APD,DOW,0.0210
APD,DRI,0.0414
APD,DTE,0.0342
APD,DV,0.0311
APD,EMN,0.0490
APD,EOG,0.0005
APD,EXC,0.0284
APD,FDX,0.0225
APD,GCI,0.0159
APD,HAL,0.0044
APD,HP,0.0487
APD,HPQ,0.0107
APD,IR,0.0146
APD,KR,0.0451
APD,LEG,0.0183
APD,LEN,0.0376
APD,MAS,0.0010
APD,MCK,0.0083
APD,MNST,0.0178
APD,MUR,0.0093
APD,NBR,0.0052
APD,NE,0.0314
APD,NKE,0.0312
APD,NOV,0.0007
APD,OXY,0.0033
APD,PM,0.0330
APD,PPG,0.0214
APD,RSG,0.0083
APD,SLB,0.0025
APD,STI,0.0353
APD,SWK,0.0011
APD,TGT,0.0044
APD,TMO,0.0055
APD,UNP,0.0329
APD,VFC,0.0403
APD,VRSN,0.0157
APD,WEC,0.0348
APD,WHR,0.0299
APD,WMB,0.0257
APD,WY,0.0200
APD,XRAY,0.0137
APD,XRX,0.0143
APH,EMC,0.0264
APH,F,0.0318
APH,MKC,0.0274
APH,WU,0.0209
ATI,MOS,0.0197
AVB,AZO,0.0001
AVB,BA,0.0200
AVB,BK,0.0285
AVB,CAG,0.0185
AVB,CAH,0.0244
AVB,CLX,0.0019
AVB,CMCSA,0.0229
AVB,CME,0.0152
AVB,CMG,0.0083
AVB,CMS,0.0159
AVB,CNP,0.0006
AVB,CRM,0.0101
AVB,CSCO,0.0466
AVB,DGX,0.0123
AVB,DLTR,0.0169
AVB,DOW,0.0038
AVB,DRI,0.0423
AVB,DTE,0.0008
AVB,DUK,0.0033
AVB,EBAY,0.0083
AVB,EMN,0.0004
AVB,ETR,0.0111
AVB,EW,0.0133
AVB,EXC,0.0119
AVB,FAST,0.0380
AVB,GE,0.0171
AVB,GILD,0.0107
AVB,GIS,0.0071
AVB,HIG,0.0096
AVB,IFF,0.0146
AVB,KLAC,0.0358
AVB,KR,0.0093
AVB,L,0.0022
AVB,MCK,0.0422
AVB,MMM,0.0218
AVB,MNST,0.0136
AVB,MO,0.0063
AVB,NEM,0.0210
AVB,NI,0.0036
AVB,NOC,0.0316
AVB,NRG,0.0303
AVB,OKE,0.0044
AVB,ORLY,0.0006
AVB,PBI,0.0381
AVB,PPL,0.0034
AVB,RHI,0.0019
AVB,S,0.0037
AVB,SCHW,0.0475
AVB,SE,0.0164
AVB,SHLD,0.0029
AVB,SO,0.0101
AVB,STI,0.0270
AVB,T,0.0065
AVB,TDC,0.0384
AVB,TJX,0.0310
AVB,TRV,0.0336
AVB,UPS,0.0005
AVB,URBN,0.0179
AVB,VRSN,0.0130
AVB,VTR,0.0406
AVB,VZ,0.0174
AVB,WAT,0.0170
AVB,WEC,0.0045
AVB,WMB,0.0445
AVB,XEL,0.0284
AVB,XRAY,0.0464
AVB,XRX,0.0097
AVY,AZO,0.0378
AVY,BBT,0.0386
AVY,CMCSA,0.0118
AVY,CMS,0.0322
AVY,CNP,0.0302
AVY,CRM,0.0298
AVY,DGX,0.0443
AVY,DTE,0.0132
